,Nazwa Oferty,Cena,Lokalizacja,Link
0,Duży pokój z balkonem* dla pary lub singla*WiFi,1199 zł/mc,"Warszawa, Praga-Południe, Gocław, ul. gen. Leopolda Okulickiego",otodom.pl/pl/oferta/duzy-pokoj-z-balkonem-dla-pary-lub-singlawifi-ID4gHs8
1,Pokój 3 min od Metro Wawrzyszew - ze sprzątaniem,1150 zł/mc,"Warszawa, Bielany, ul. Wrzeciono",otodom.pl/pl/oferta/pokoj-3-min-od-metro-wawrzyszew-ze-sprzataniem-ID46bzH
2,Pokój 1-osobowy Warszawa przy metro Stokłosy,1200 zł/mc,"Warszawa, Ursynów, ul. Dzwonnicza",otodom.pl/pl/oferta/pokoj-1-osobowy-warszawa-przy-metro-stoklosy-ID4gCRF
3,Pokój 1-osobowy! OD JUŻ,1200 zł/mc,"Warszawa, Bielany, ul. Wrzeciono",otodom.pl/pl/oferta/pokoj-1-osobowy-od-juz-ID4gKxq
4,Pokój jednoosobowy ul. Siedlecka,720 zł/mc,"Warszawa, Praga-Północ, Szmulowizna, Siedlecka 16/24",otodom.pl/pl/oferta/pokoj-jednoosobowy-ul-siedlecka-ID44qKq
5,Pokój przy SGGW,900 zł/mc,"Warszawa, Ursynów, Imielin, Związku Walki Młodych 20",otodom.pl/pl/oferta/pokoj-przy-sggw-ID4dg82
6,Na 2-6 miesięcy! Przy metrze Stadion! Prywatność!,990 zł/mc,"Warszawa, Praga-Południe, ul. Skaryszewska",otodom.pl/pl/oferta/na-2-6-miesiecy-przy-metrze-stadion-prywatnosc-ID4gKcY
7,"Pokój 12.8m2, bardzo blisko METRO Natolin",1000 zł/mc,"Warszawa, Ursynów, ul. Henryka Raabego",otodom.pl/pl/oferta/pokoj-12-8m2-bardzo-blisko-metro-natolin-ID4fWWa
8,Pokój z małżeńskim łóżkiem; Bernardyńska,1200 zł/mc,"Warszawa, Mokotów, Sadyba, ul. Bernardyńska",otodom.pl/pl/oferta/pokoj-z-malzenskim-lozkiem-bernardynska-ID4gJkR
9,Przytulny pokój na Żoliborzu ul. Elbląska,1350 zł/mc,"Warszawa, Żoliborz, elbląska 41",otodom.pl/pl/oferta/przytulny-pokoj-na-zoliborzu-ul-elblaska-ID4gJc9
10,pokój z balkonem w mieszkaniu 2pokojowym,1200 zł/mc,"Warszawa, Praga-Południe, ul. Józefa Dwernickiego",otodom.pl/pl/oferta/pokoj-z-balkonem-w-mieszkaniu-2pokojowym-ID4gI7W
11,"Pokój przy ul. Racławickiej, elastyczne warunki.",800 zł/mc,"Warszawa, Ochota",otodom.pl/pl/oferta/pokoj-przy-ul-raclawickiej-elastyczne-warunki-ID45vwV
